,Models,Prices(Rs),Buy Now
0,"Infinix Note 50 - 8GB RAM+256GB ROM - 50MP Rear + 13 MP Camera - MediaTek Helio G100 Ultimate Processor - 6.78"" 144Hz Amoled Display - 45W Fast Charge","60,499",https://www.daraz.pk/products/infinix-note-50-8gb-ram256gb-rom-50mp-rear-13-mp-camera-mediatek-helio-g100-ultimate-processor-678-144hz-amoled-display-45w-fast-charge-i739461178.html
1,"Infinix Hot 50 Pro Plus 8GB RAM+256GB ROM  6.8""INCH DISPLAY 5000mAh  Battery PTA APPROVED ONE YEAR OFFICIAL BRAND WARRANTY","54,999",https://www.daraz.pk/products/infinix-hot-50-pro-plus-8gb-ram256gb-rom-68inch-display-5000mah-battery-pta-approved-one-year-official-brand-warranty-i603471226.html
2,"Infinix Hot 50 Pro 8GB RAM 128GB ROM 6.78 "" INCH DISPLAY 5000mAh(TYP) BATTERY PTA Approved Official One Year Brand Warranty","41,999",https://www.daraz.pk/products/infinix-hot-50-pro-8gb-ram-128gb-rom-678-inch-display-5000mahtyp-battery-pta-approved-official-one-year-brand-warranty-i603515582.html
3,"Infinix Note 50 8GB+8GB Extended RAM  256GB Rom ,  6.78” AMOLED  Display 144Hz , IP64 , 5200 mAh - 45W Super Charge","65,299",https://www.daraz.pk/products/50-8gb-8gb-256gb-678-ip64-ip64-4-mah-45w-i822819403.html
4,Infinix Zero 40  - 8 GB RAM 256 ROM 3D-Curved  AMOLED Display Front & Rear 2K Vlog PTA Approved Official Brand Warranty,"66,980",https://www.daraz.pk/products/40-8-gb-256-i586077924.html
5,INFINIX NOTE 50 8GB RAM 256GB ROM 6.78'' AMOLED Display 5200mAh  Battery PTA Approved Official One Year Warranty,"65,199",https://www.daraz.pk/products/infinix-note-50-8gb-ram-256gb-rom-678-amoled-display-5200mah-battery-pta-approved-official-one-year-warranty-i749714878.html
6,Infinix Zero 40 4G || 8GB RAM 256GB ROM || 108 MP + 50MP + 2 MP Back Camera || 5000 mAh Battery || 6.78 Inches Display,"60,499",https://www.daraz.pk/products/40-4g-wach-8gb-8gb-2-mp-50mp-2-mp-20-20-000-mah-256-i598922777.html
7,"Infinix Note 30 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh 45W Fast Charging","49,999",https://www.daraz.pk/products/30-8gb-256gb-64mp-5000mah-45w-i432053083.html
8,INFINIX ZERO 40 = 8GB RAM = 256GB ROM = 5000mAh BATTERY,"64,999",https://www.daraz.pk/products/40-8gb-256gb-5000mah-i578909263.html
9,Infinix Note 30- 8+256,"50,000",https://www.daraz.pk/products/30-i435738738.html
10,Infinix Note 40 - 8GB RAM 256GB ROM - Flexible AMOLED LCD - 6.78 Inches Display - 108MP Rear Camera - 32MP Front Camera - Dual SIM - Type-C Port - 5000mAh Battery,"53,899",https://www.daraz.pk/products/infinix-note-40-8gb-ram-256gb-rom-flexible-amoled-lcd-678-inches-display-108mp-rear-camera-32mp-front-camera-dual-sim-type-c-port-5000mah-battery-i482640835.html
11,Infinix Note 40 RAM 8GB ROM 256 CAMERA 108 MP Offical Brand Warranty,"53,799",https://www.daraz.pk/products/40-8gb-256-i481815598.html
12,"Infinix Note 40 - 6.78"" Inch AMOLED Display - 8GB RAM - 256GB ROM - With Power Bank","58,162",https://www.daraz.pk/products/infinix-note-40-678-inch-amoled-display-8gb-ram-256gb-rom-with-power-bank-i563792848.html
13,"infinix HOT 50i 6GB RAM 128GB ROM  6.7""  Display 5000mAh  Battery PTA Approved One Year Official Brand Warranty","30,999",https://www.daraz.pk/products/infinix-hot-50i-6gb-ram-128gb-rom-67-display-5000mah-battery-pta-approved-one-year-official-brand-warranty-i598940432.html
14,"Infinix Hot 50 Pro | 6.78"" Inch Display | 8GB RAM | 128GB ROM | 1 Year Brand Warranty","54,270",https://www.daraz.pk/products/infinix-hot-50-pro-678-inch-display-8gb-ram-128gb-rom-1-year-brand-warranty-i835632272.html
15,"Infinix Hot 50 Pro Plus 8GB + 256GB , 6.78 FHD+3D-Curved AMOLED 120Hz , Fingerprint under display , 5000 mAh Battery - 33W wired,","54,899",https://www.daraz.pk/products/50-8gb-256gb-678-fhd-3d-120hz-33-mah-33w-i825521085.html
16,Infinix Note 40 Pro RAM 12GB ROM 256GB CAMERA 108 MP Fast Charging One Year Brand Warranty Offcial,"80,999",https://www.daraz.pk/products/40-12gb-256gb-i481806942.html
17,"Infinix Hot 50 8GB + 128GB , 6.78 Inches IPS Display 120Hz , 5000 mAh Battery  - 18W wired,","38,899",https://www.daraz.pk/products/50-8gb-128gb-678-ips-120hz-5000-mah-18-i825584180.html
18,Infinix Smart 9 HD - 6.7 Inches Display - 4GB RAM 64GB ROM - 8MP Front Camera - 13MP Rear Camera - Dual SIM - 5000mAh Battery,"24,499",https://www.daraz.pk/products/9-hd-67-4gb-64gb-8mp-13mp-5000mah-i614545112.html
19,Infinix Hot 30 RAM 8 GB ROM 128 GB Back Camera  50 MP + 0.08 MP  Battery Type	5000 mAh,"30,999",https://www.daraz.pk/products/30-8-gb-128-gb-50-mp-008-mp-5000-mah-i431431345.html
