,Models,Prices(Rs),Buy Now
0,TSC Infinix Fast Charger 30Watt + Infinix Fast Charging Data cable Micro Usb 3.0 And Type C Original Quality For Infinix and Android Mobile Phones Compact Fast Charging Fast Charger for Infinix Phones,450,https://www.daraz.pk/products/tsc-30-usb-30-c-i434815975.html
1,"(Not Support Tecno and Infinix) New K8 Wireless Microphone Mic Universal Plug & Play Audio Mic Mini Collar for Live Game Video Shooting Streaming Vlogging, Podcast Mic Video for Type C Android, IOS Lightining & 3.5mm Jack- K8 Single Conference Mic",899,https://www.daraz.pk/products/k8-c-ios-35-k8-i460695315.html
2,Infinix Fast Charger + Data Cable 3.0 Fast Charging For Infinix Mobile Phone,475,https://www.daraz.pk/products/30-i270052961.html
3,Infinix Hot-9 Matte Back Camera Protector,99,https://www.daraz.pk/products/9-i217731938.html
4,"（Not Support Tecno and Infinix）K8 Wireless Microphone Mic Universal Plug & Play Audio Mic Mini Collar for Live Game Video Shooting Streaming Vlogging Mic Video for Type C Android,  IOS Lightining & 3.5mm Jack- K8 Single Mic & K9 Dual Mic",899,https://www.daraz.pk/products/k8-c-ios-35-k8-k9-i294400564.html
5,INFINIX NOTE-7 LITE BLACK MATTE BACK CAMERA PROTECTOR,99,https://www.daraz.pk/products/7-i220539671.html
6,Infinix Hot 8 Anti Shock Corner Bumper 1.5mm Soft Transparent,149,https://www.daraz.pk/products/8-15-i478649378.html
7,INFINIX HOT-9 PLAY BLACK MATTE BACK CAMERA PROTECTOR,99,https://www.daraz.pk/products/9-i220547275.html
8,Infinix Original Handfree / Earphones 3.5mm With Mic For Android Mobile,161,https://www.daraz.pk/products/35-i454048271.html
9,Infinix Orignal Cable -  Micro USB Fast Charging,119,https://www.daraz.pk/products/usb-i388876504.html
10,Infinix Note 7  Back Cover Mickey and Minnie Mouse Hello Kitty Cartoon Case,299,https://www.daraz.pk/products/infinix-note-7-back-cover-mickey-and-minnie-mouse-hello-kitty-cartoon-case-i251241542.html
11,360 Degree Rotation Leather Case flip cover For tablet Xpad 2024 Infinix X Pad 11 Inch flipcover,"3,869",https://www.daraz.pk/products/360-degree-rotation-leather-case-flip-cover-for-tablet-xpad-2024-infinix-x-pad-11-inch-flipcover-i609230511.html
12,infinix note 10 pro  Back Cover Transparent Soft Silicone Crystal Clear Case For infinix note 10 pro,178,https://www.daraz.pk/products/infinix-note-10-pro-back-cover-transparent-soft-silicone-crystal-clear-case-for-infinix-note-10-pro-i436071114.html
13,( Not Support Tecno and Infinix ) K9 Dual Microphone Mic Plug & Play USB Type C Plug Wireless Lavalier Microphone | Mini Lapel Microphone Wireless Mic For Recording YouTube_Facebook_ Interview Auto Sync Noise Reduction NO APP or Bluetooth Needed- Dual Mic,"1,699",https://www.daraz.pk/products/k9-usb-c-_-i350140428.html
14,Infinix Box Orignal Cable - 2A Micro USB Fast Charging - Ahmed Seller-Fast Charging,199,https://www.daraz.pk/products/infinix-box-orignal-cable-2a-micro-usb-fast-charging-ahmed-seller-fast-charging-i480365431.html
15,"Oppo, Vivo, Infinix, Original Handsfree, 
In Ear Headphones
Gionee Handfree - Imported Handfree , High Quality Deep Bass / Sound - Earphones - Headphones - Gaming earphone - Handsfree - earbuds - stereo sound handsfree - Crystal-Clear Audio Deep-Bass",179,https://www.daraz.pk/products/-i466480578.html
16,Infinix Hot 12 Blue Rear Back Body casing Housing Replacement Battery Back Door For Infinix Hot 12 Blue,785,https://www.daraz.pk/products/infinix-hot-12-blue-rear-back-body-casing-housing-replacement-battery-back-door-for-infinix-hot-12-blue-i462350070.html
17,"100% Original Infinix Micro High-Speed USB Cable - White - Imported High Quality Fast Charging Cable For Android Mobile Phones - Best Android Phones Cables, Designed For Infinix Smartphones Infinix Data Cable Latest 2021 By Tijarat Online",109,https://www.daraz.pk/products/100-original-infinix-micro-high-speed-usb-cable-white-imported-high-quality-fast-charging-cable-for-android-mobile-phones-best-android-phones-cables-designed-for-infinix-smartphones-infinix-data-cable-latest-2021-by-tijarat-online-i473221358.html
